id,day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,area_accident_occured,lanes_or_medians,road_alignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,age_band_of_casualty,casualty_severity,cause_of_accident,accident_severity,hour
1881,Monday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Church areas,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Moving Backward,Slight Injury,18
1882,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Changing lane to the right,Slight Injury,18
1883,Monday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Other,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,31-50,3,No distancing,Slight Injury,20
1884,Wednesday,18-30,Male,Junior high school,Employee,No Licence,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Over 51,3,Driving carelessly,Slight Injury,18
1885,Wednesday,Unknown,Male,Above high school,Employee,Below 1yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,18-30,3,Changing lane to the left,Slight Injury,18
1886,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,Moving Backward,Slight Injury,16
1887,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Over 51,3,No distancing,Slight Injury,16
1888,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,na,na,Changing lane to the right,Slight Injury,17
1889,Tuesday,18-30,Male,High school,Employee,5-10yr,Other,Owner,Office areas,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Over 51,2,No priority to vehicle,Slight Injury,17
1890,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,Getting off the vehicle improperly,Slight Injury,7
1891,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Ridden horse,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury,7
1892,Saturday,Unknown,Male,Writing & reading,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,18-30,3,No distancing,Slight Injury,15
1893,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Changing lane to the left,Slight Injury,18
1894,Saturday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Under 18,3,No priority to vehicle,Slight Injury,18
1895,Friday,18-30,Male,Writing & reading,Employee,Below 1yr,Lorry (11?40Q),Owner,Residential areas,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,31-50,3,Driving carelessly,Slight Injury,14
1896,Friday,31-50,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Rollover,1,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,10
1897,Friday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,31-50,3,No distancing,Slight Injury,17
1898,Friday,Unknown,Female,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,Changing lane to the right,Slight Injury,17
1899,Friday,31-50,Male,Elementary school,Owner,5-10yr,Motorcycle,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,18-30,3,No distancing,Slight Injury,13
1900,Friday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,18-30,3,Driving under the influence of drugs,Slight Injury,13
1901,Thursday,18-30,Male,Junior high school,Owner,Below 1yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,18-30,3,Changing lane to the left,Serious Injury,10
1902,Thursday,Unknown,Male,Writing & reading,Employee,5-10yr,Automobile,Owner,Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,18-30,3,Getting off the vehicle improperly,Serious Injury,10
1903,Tuesday,31-50,Male,Writing & reading,Employee,5-10yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Overloading,Slight Injury,8
1904,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Organization,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,Driving carelessly,Slight Injury,14
1905,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,18-30,3,Overtaking,Slight Injury,14
1906,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,NaN,Under 18,3,No distancing,Slight Injury,11
1907,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,18-30,3,Overturning,Slight Injury,11
1908,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,31-50,3,Driving carelessly,Slight Injury,18
1909,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,NaN,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,31-50,2,No priority to pedestrian,Slight Injury,18
1910,Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury,18
1911,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Under 18,3,No priority to vehicle,Slight Injury,2
1912,Thursday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Getting off the vehicle improperly,Slight Injury,2
1913,Thursday,Unknown,Female,Junior high school,Employee,2-5yr,Taxi,Governmental,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Under 18,3,No priority to pedestrian,Slight Injury,2
1914,Sunday,18-30,Male,Elementary school,Employee,Below 1yr,Other,Owner,Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury,6
1915,Sunday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,Moving Backward,Slight Injury,6
1916,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Under 18,3,Changing lane to the left,Serious Injury,17
1917,Saturday,18-30,Male,High school,Employee,Above 10yr,Automobile,Governmental,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Under 18,3,No distancing,Slight Injury,11
1918,Saturday,Over 51,Male,High school,Employee,Above 10yr,Automobile,Owner,School areas,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Driving carelessly,Slight Injury,11
1919,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,18-30,3,Driving under the influence of drugs,Slight Injury,12
1920,Sunday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),NaN,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Driving carelessly,Slight Injury,12
1921,Sunday,Unknown,Female,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Over 51,3,Driving carelessly,Slight Injury,12
1922,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Over 51,3,Changing lane to the right,Slight Injury,17
1923,Thursday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Other,One way,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury,17
1924,Sunday,Unknown,Male,Junior high school,Owner,5-10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,NaN,1,1,Going straight,18-30,3,Driving carelessly,Slight Injury,20
1925,Tuesday,18-30,Male,High school,Owner,Above 10yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Under 18,3,No priority to pedestrian,Slight Injury,8
1926,Tuesday,Unknown,Male,NaN,Owner,Below 1yr,Pick up upto 10Q,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,NaN,Under 18,3,No distancing,Slight Injury,8
1927,Wednesday,Unknown,Male,Writing & reading,Owner,5-10yr,Motorcycle,Owner,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,31-50,2,Moving Backward,Slight Injury,17
1928,Saturday,18-30,Male,Above high school,Employee,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Under 18,2,Moving Backward,Slight Injury,0
1929,Sunday,18-30,Male,High school,Employee,Below 1yr,Pick up upto 10Q,Owner,Other,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,No priority to vehicle,Slight Injury,16
1930,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner,Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Under 18,3,No distancing,Slight Injury,16
1931,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,NaN,1,1,Going straight,Under 18,2,Moving Backward,Slight Injury,15
1932,Saturday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,Residential areas,One way,Tangent road with flat terrain,O Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury,0
1933,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Taxi,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,O Shape,Dry,Darkness - lights lit,Normal,NaN,2,1,Going straight,na,na,Moving Backward,Slight Injury,0
1934,Saturday,Unknown,Male,Junior high school,Employee,No Licence,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,NaN,1,1,Going straight,18-30,3,Changing lane to the right,Slight Injury,10
1935,Sunday,31-50,Male,Junior high school,Employee,1-2yr,Long lorry,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,NaN,3,2,Going straight,18-30,3,Driving carelessly,Slight Injury,14
1936,Sunday,18-30,Male,Illiterate,Owner,1-2yr,Automobile,Owner,Other,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,Changing lane to the right,Slight Injury,14
1937,Sunday,Under 18,Male,Junior high school,Owner,Below 1yr,Public (12 seats),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Turnover,18-30,3,No distancing,Slight Injury,14
1938,Monday,31-50,Male,Junior high school,Owner,1-2yr,Lorry (11?40Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,NaN,31-50,3,Moving Backward,Slight Injury,13
1939,Monday,18-30,Male,Junior high school,Owner,2-5yr,Pick up upto 10Q,Owner,Office areas,Double carriageway (median),Gentle horizontal curve,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,18-30,3,Driving carelessly,Slight Injury,13
1940,Monday,Unknown,Male,Unknown,Owner,5-10yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,No distancing,Slight Injury,20
1941,Monday,18-30,Male,Unknown,Owner,Above 10yr,Other,Organization,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,No priority to vehicle,Slight Injury,20
1942,Sunday,18-30,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,31-50,3,Changing lane to the right,Slight Injury,11
